127.0.0.1 - - [20/Mar/2024:09:05:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:05:38 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2874
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:05:38 +0900] "GET /BBS/imgs/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:05:38 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:05:38 +0900] "GET /BBS/imgs/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:05:38 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:05:38 +0900] "GET /BBS/imgs/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:05:38 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:05:38 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:05:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:05:40 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3881
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:05:43 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 3967
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:05:44 +0900] "GET /BBS/bbs.jsp?pageNumber=1 HTTP/1.1" 200 3881
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:05:49 +0900] "GET /BBS/view.jsp?bbsID=24 HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:05:53 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3881
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:05:57 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2196
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:01 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:01 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2831
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:03 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:06 +0900] "GET /BBS/view.jsp?bbsID=24 HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:08 +0900] "GET /BBS/deleteAction.jsp?bbsID=24 HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:08 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3841
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:13 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:19 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:19 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3838
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:20 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:21 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:21 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3839
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:22 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:24 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:24 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3838
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:25 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:27 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:27 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:28 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:30 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:30 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3841
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:30 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:32 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:32 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3838
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:33 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [20/Mar/2024:09:06:34 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 250
