127.0.0.1 - - [26/Mar/2024:10:29:41 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:29:42 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2874
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:29:42 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:29:42 +0900] "GET /BBS/imgs/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:29:42 +0900] "GET /BBS/imgs/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:29:42 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:29:42 +0900] "GET /BBS/imgs/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:29:42 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:29:42 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:29:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:29:44 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3876
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:29:47 +0900] "GET /BBS/view.jsp?bbsID=32 HTTP/1.1" 200 3212
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:29:50 +0900] "POST /BBS/submitAction.jsp?bbsID=32 HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:29:52 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2196
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:29:53 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2874
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:30:09 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2874
